,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,seq_id,vehicle_type,violation_type,year
0,21-801.1,BLACK,No,No,FAIRFAX,No,HONDA,CIVIC,02ccadf1-7ebd-48d8-a793-913e3198f52a,02 - Automobile,Warning,2014
1,21-707(a),BLACK,No,No,SILVER SPRING,No,FORD,TK,3b060228-d664-4480-9314-6188ee8ac891,02 - Automobile,Warning,2016
2,11-393.9,WHITE,No,No,ALEXANDRIA,No,HINO,TRUCK,d4dd55c0-adb0-434e-b5d9-d8346b0a4080,06 - Heavy Duty Truck,Warning,2018
3,22-204(f),WHITE,No,No,POTOMAC,No,VOLV,4S,abd509c6-edb3-4818-b90a-477cf92755e6,02 - Automobile,Warning,2006
4,21-309(b),BLACK,No,No,MONTGOMERY VILLAGE,No,HONDA,CIVIC,021d5a2d-7989-4b52-a983-7f6e462fc123,02 - Automobile,Warning,2008
5,61,WHITE,No,No,FORT WASHINGTON,No,TOYOTA,COROLA,54442b34-6511-4efd-b2fe-0536ae0d3f55,02 - Automobile,ESERO,2010
6,21-801(a),BLACK,No,No,MANASSAS,No,AUDI,R8,05ae21fe-9784-4b9c-a3ca-1494851582b5,02 - Automobile,Warning,2011
7,55*,WHITE,No,No,SEVERN,No,TOYT,4S,8b9cef31-a20b-4232-9780-5fefa4aa175c,02 - Automobile,ESERO,2006
8,64*,SILVER,No,No,GLOUCHESTER,No,TOYT,VENZA,86ddd80d-2c15-4a3e-96c2-16bc63c5491e,02 - Automobile,ESERO,2010
9,56*,BLACK,No,No,SILVER SPRING,No,TOYOTA,CAMRY LE,d430a8e0-c888-4b8d-9147-283028661ac8,02 - Automobile,ESERO,2002
10,16-301(j),GRAY,No,No,SILVER SPRING,No,HONDA,CIVIC,f8720ad7-b9fb-4819-bd55-ff3d03d4cf08,02 - Automobile,Citation,2017
11,21-309(b),BLACK,No,No,GERMANTOWN,No,NISSAN,ALTIMA,fad29cee-2f92-4af8-ac95-956d158260fe,02 - Automobile,Citation,2017
12,22-219(a),WHITE,No,No,SILVER SPRING,No,BMW,X5,f8f41053-45ec-4dbf-9fb1-84e67a8aae6a,02 - Automobile,Warning,2008
