,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
0,21-801.1,BLACK,No,No,FAIRFAX,No,HONDA,CIVIC,02 - Automobile,Warning,2014
1,21-707(a),BLACK,No,No,SILVER SPRING,No,FORD,TK,02 - Automobile,Warning,2016
2,11-393.9,WHITE,No,No,ALEXANDRIA,No,HINO,TRUCK,06 - Heavy Duty Truck,Warning,2018
3,21-309(b),BLACK,No,No,MONTGOMERY VILLAGE,No,HONDA,CIVIC,02 - Automobile,Warning,2008
4,61,WHITE,No,No,FORT WASHINGTON,No,TOYOTA,COROLA,02 - Automobile,ESERO,2010
5,21-801(a),BLACK,No,No,MANASSAS,No,AUDI,R8,02 - Automobile,Warning,2011
6,55*,WHITE,No,No,SEVERN,No,TOYT,4S,02 - Automobile,ESERO,2006
7,64*,SILVER,No,No,GLOUCHESTER,No,TOYT,VENZA,02 - Automobile,ESERO,2010
8,56*,BLACK,No,No,SILVER SPRING,No,TOYOTA,CAMRY LE,02 - Automobile,ESERO,2002
9,16-301(j),GRAY,No,No,SILVER SPRING,No,HONDA,CIVIC,02 - Automobile,Citation,2017
10,21-309(b),BLACK,No,No,GERMANTOWN,No,NISSAN,ALTIMA,02 - Automobile,Citation,2017
11,22-219(a),WHITE,No,No,SILVER SPRING,No,BMW,X5,02 - Automobile,Warning,2008
12,21-801.1,RED,No,No,GERMANTOWN,No,MERZ,4S,02 - Automobile,Warning,2002
13,16-101(a1),BLACK,No,No,SILVER SPRING,No,HONDA,HRV,02 - Automobile,Citation,2016
14,13-703(g),BLACK,No,No,SILVER SPRING,No,MITSUBISHI,LANCER,02 - Automobile,Citation,2010
15,64*,RED,No,No,SILVER SPRING,No,GMC,VN,02 - Automobile,ESERO,1994
16,13-409(b),BLACK,No,No,SILVER SPRING,No,MITSUBISHI,LANCER,02 - Automobile,Citation,2010
17,21-801.1,WHITE,No,No,SILVER SPRING,No,FORD,BOX TRU,05 - Light Duty Truck,Warning,2006
18,21-801.1,BLUE,No,No,GAITHERSBURG,No,HONDA,CIVIC 4DR,02 - Automobile,Citation,2008
19,21-801(b),BLACK,No,No,MITCHELVILLE,No,CHEVY,IMPALA,02 - Automobile,Citation,2010
20,21-902(a1),"GREEN, DK",No,No,GAITHERSBURG,No,HOND,4S,02 - Automobile,Citation,1999
21,16-301(j),BLACK,No,No,LAUREL,No,DODG,TK,02 - Automobile,Citation,1998
22,21-901.1(a),SILVER,No,No,OLNEY,No,HONDA,ACCORD,02 - Automobile,Citation,2004
23,21-201(a1),GRAY,No,No,ROCKVILLE,No,TOYT,PRIUS,02 - Automobile,Warning,2007
24,21-707(a),BLUE,No,No,BETHESDA,No,NISSAN,SENTRA,02 - Automobile,Warning,2019
25,22-206(a),WHITE,No,No,SILVER SPRING,No,TOYTA,CELICA,02 - Automobile,Citation,1989
26,21-801.1,BLACK,No,No,SILVER SPRING,No,AUDI,A4,02 - Automobile,Citation,2004
27,21-801.1,GRAY,No,No,TAKOMA PARK,No,LINC,TK,02 - Automobile,Warning,2016
28,61*,WHITE,No,No,FAIRFAX,No,CHEV,TK,05 - Light Duty Truck,ESERO,2005
29,17-107(a1),BEIGE,No,No,SILVER SPRING,No,NISS,4S,02 - Automobile,Citation,2006
30,13-409(b),GRAY,No,No,CLARKSBURG,No,VW,JETTA,02 - Automobile,Citation,2011
31,22-412.3(b),SILVER,No,No,NORTH POTOMAC,No,VOLK,JETTA,02 - Automobile,Citation,2000
32,22-412.3(b),BLACK,No,No,BETHESDA,No,MAZDA,CX-9,02 - Automobile,Citation,2008
33,22-412.3(b),BLUE,No,No,SILVER SPRING,No,TOYT,COROLLA,02 - Automobile,Citation,1994
34,21-902(b1),BLUE,No,No,ROCKVILLE,No,CHEVY,EQUINOX,02 - Automobile,Citation,2011
35,21-309(b),BLACK,No,No,SILVERSPRING,No,CHEV,CAVERLER,02 - Automobile,Citation,2000
36,13-401(h),GREEN,No,No,FULTON,No,HONDA,CRV,02 - Automobile,Citation,1998
37,13-411(f),BLACK,No,No,BETHESDA,No,AUDI,S-3,02 - Automobile,Citation,2015
38,21-901.2,GRAY,No,No,ROCKVILLE,No,LAND ROVER,LR3,02 - Automobile,Citation,2006
39,21-707(a),"GREEN, DK",No,No,GARRETT PARK,No,TOYOTA,VAN,02 - Automobile,Citation,2005
40,21-309(b),RED,Yes,No,GAITHERSBURG,No,JEEP,CHEROKEE,02 - Automobile,Citation,1995
41,21-902(a2),GREEN,No,No,SHARPSBURG,No,KIA,SPECTRA,02 - Automobile,Citation,2002
42,21-902(b1),WHITE,No,No,SILVER SPRING,No,CHEVY,VAN,02 - Automobile,Citation,2005
43,13-401(h),SILVER,No,No,BETHESDA,No,TOYOTA,COROLLA,02 - Automobile,Citation,2009
44,22-412.3(b),RED,No,No,BLADENSBURG,No,FORD,F350,05 - Light Duty Truck,Citation,2005
45,64*,WHITE,No,No,DERWOOD,No,CADI,CTS,02 - Automobile,SERO,2007
46,13-401(h),GRAY,No,No,SILVER SPRING,No,BMW,325CI,02 - Automobile,Citation,2001
47,16-303(c),BLACK,No,No,HYATTSVILLE,No,HONDA,ACCORD,02 - Automobile,Citation,1998
48,16-301(j),SILVER,No,No,HYATTSVILLE,No,SCION,XB,02 - Automobile,Citation,2010
49,13-401(h),BLACK,No,No,BELTSVILLE,No,LEXUS,RX300,02 - Automobile,Citation,1999
50,22-412.3(b),BLACK,No,No,DARTMOUTH,No,SAAB,93,02 - Automobile,Citation,1999
51,21-707(a),GREEN,No,No,BETHESDA,No,FORD,AEROSTAR,02 - Automobile,Citation,1994
52,22-412.3(b),BLACK,No,No,COLUMBIA,No,HOND,4S,02 - Automobile,Citation,2002
53,21-202(h1),WHITE,No,No,GAITHERSBURG,No,FORD,VAN,02 - Automobile,Citation,2000
54,21-801.1,BLACK,No,No,WASHINGTON,No,HYUNDIA,SONOTA,02 - Automobile,Citation,2012
55,21-902(a2),BLACK,No,No,GERMANTOWN,No,JEEP,SU,02 - Automobile,Citation,2011
56,22-226(a),GRAY,No,No,RIVERDALE,No,KIA,RIO,02 - Automobile,Warning,2013
57,21-1112,BLACK,No,No,GERMANTOWN,No,JEEP,SU,02 - Automobile,Citation,2011
58,21-901.1(b),BLUE,No,No,SILVER SPRING,No,MITS,MONTERO,02 - Automobile,Citation,2002
59,21-801.1,"GREEN, DK",No,No,MONTGOMERY VILLAGE,No,TOYOTA,COROLLA,02 - Automobile,Citation,1997
60,20-103(a),GRAY,No,No,HYATTSVILLE,No,HONDA,PILOT,02 - Automobile,Citation,2008
61,16-101(a),SILVER,No,No,LAUREL,No,FORD,WINDSTAR,02 - Automobile,Citation,2002
62,21-309(b),YELLOW,No,No,WHEATON,No,JEEP,WRANGER,02 - Automobile,Citation,2014
63,21-902(b1),SILVER,No,No,GERMANTOWN,No,HONDA,CRV,02 - Automobile,Citation,2009
64,22-412.3(b),RED,No,No,GAITHERSBURG,No,NISSAN,VAN,02 - Automobile,Citation,1996
65,55*,GREEN,No,No,NORTH POTOMAC,No,TOYT,COROLLA,02 - Automobile,ESERO,1999
66,21-801.1,BLUE,No,No,POTOMAC,No,ACURA,4S,02 - Automobile,Citation,2006
67,21-902(b1),WHITE,No,No,MORRIS PLAINS,No,BMW,TK,02 - Automobile,Citation,2006
68,21-902(b1),GRAY,No,No,ROCKVILLE,No,HONDA,CIVIC,02 - Automobile,Citation,2004
69,13-411(d),WHITE,No,No,RALEIGH,No,CHRYSLER,200,02 - Automobile,Citation,2012
70,21-707(a),GRAY,No,No,BETHESDA,No,HOND,VN,02 - Automobile,Citation,2006
71,21-801.1,BLACK,No,No,ROCKVILLE,No,MERZ,4S,02 - Automobile,Citation,2010
72,21-902(a1),"GREEN, DK",No,No,DAMASCUS,No,BUICK,4S,02 - Automobile,Citation,2001
73,21-902(a2),"GREEN, DK",No,No,DAMASCUS,No,BUICK,4S,02 - Automobile,Citation,2001
74,21-801.1,BLUE,No,No,POTOMAC,No,HONDA,CRV,02 - Automobile,Citation,2013
75,21-902(c1),BEIGE,No,No,GAITHERSBURG,No,TOYOTA,CAMRY,02 - Automobile,Citation,1997
76,16-303(h),BLACK,No,No,UPPER MARLBORO,No,CHEVROLET,4S,02 - Automobile,Citation,1996
77,21-801.1,RED,No,No,SILVER SPRING,No,HOND,ACCORD,02 - Automobile,Citation,2009
78,21-801.1,GRAY,No,No,BOYDS,No,NISS,TK,02 - Automobile,Citation,2009
79,21-901.2,WHITE,No,No,CLARKSBURG,No,VOLKS WAGON,JETTA,02 - Automobile,Citation,2017
80,21-801.1,WHITE,No,No,CLARKSBURG,No,CHEV,TK,02 - Automobile,Citation,2011
81,21-801.1,GRAY,No,No,GERMANTOWN,No,CHEV,CRUZE,02 - Automobile,Citation,2015
82,21-902(b1),BLACK,No,No,SILVER SPRING,No,VOLVO,S70,02 - Automobile,Citation,1998
83,21-902(a1),WHITE,No,No,ROCKVILLE,No,FORD,F150,02 - Automobile,Citation,2001
84,17-107,MAROON,No,No,GERMANTOWN,No,JEEP,GRAND CHEROKEE,02 - Automobile,Citation,2001
85,16-301(j),BLACK,No,No,GAITHERSBURG,No,SCION,TC,02 - Automobile,Citation,2007
86,21-707(a),WHITE,No,No,CLARKSBURG,No,TOYOTA,TACOMA,02 - Automobile,Citation,2006
87,13-409(b),GRAY,No,No,HYATTSVILLE,No,ACURA,MDX,02 - Automobile,Citation,2004
88,21-309(b),BLACK,No,No,ANNAPOLIS,No,INFINITI,M35X,02 - Automobile,Citation,2007
89,17-107,BLACK,No,No,SILVER SPRING,No,NISSAN,ALTIMA,02 - Automobile,Citation,2005
90,21-202(h1),"GREEN, DK",No,No,WASHINGTON,No,HONDA,CIVIC,02 - Automobile,Citation,1999
91,21-902(b1),"GREEN, DK",No,No,WASHINGTON,No,HONDA,CIVIC,02 - Automobile,Citation,1999
92,20-102(a1),BLACK,No,No,GERMANTOWN,No,GMC,YUKON  SUV,02 - Automobile,Citation,2007
93,21-1117(c),SILVER,No,No,NEW CARROLLTON,No,TOYT,2S,02 - Automobile,Citation,2005
94,21-801.1,BLACK,No,No,OLNEY,No,VOLK,4S,02 - Automobile,Citation,2008
95,13-401(b),WHITE,No,No,SILVER SPRING,No,VOLKSWAGON,JETTA,02 - Automobile,Citation,1998
96,13-409(b),SILVER,No,No,FREDERICK,No,PONTIAC,VIBE,02 - Automobile,Citation,2003
97,21-707(a),BLACK,No,No,CAPITOL HEIGHTS,No,CHEV,4S,02 - Automobile,Citation,2000
98,21-801(b),BLUE,No,No,GERMANTOWN,No,CHEV,IMPALA,02 - Automobile,Citation,2007
99,21-801.1,WHITE,No,No,CLARKSBURG,No,TOYT,4S,02 - Automobile,Citation,2007
100,21-801.1,BLACK,No,No,SILVER SPRING,No,FORD,4DR,02 - Automobile,Citation,2015
101,21-402(b),GRAY,No,No,SILVER SPRING,No,HONDA,CIVIC,02 - Automobile,Citation,2006
102,21-309(b),WHITE,No,No,ROCKVILLE,No,MERC,4D,02 - Automobile,Citation,2003
103,13-401(h),SILVER,No,No,ROCKVILLE,No,KIA,OPTIMA,02 - Automobile,Citation,2013
104,13-401(b),GRAY,No,No,STATE COLLEGE,No,BMW,325XI,02 - Automobile,Citation,2004
105,21-902(a1),YELLOW,No,No,GERMANTOWN,No,SCION,TC,02 - Automobile,Citation,2012
